Time,PI_feedwaterPump.y,gain.y,PTarget.y,gain1.y,GW_CWS1_Valve_Ramp_Cold_HT_out3.y,turbineStress.stress.inStress,turbineStress.stress.outStress,simpleGenerator.summary.P_el,quadruple1.p,quadruple1.T,quadruple2.p,quadruple2.T
0.0,15426218.0,10.5,1.0,0.00033333333,0.02,4.147674e-13,0.0,633421800.0,51.22,559.85,262.10764,549.8883
1e-10,15426218.0,10.5,1.0,0.00033333333,0.02,4.147674e-13,0.0,633421800.0,51.22,559.85,262.10764,549.8883
1e-10,15426218.0,10.5,1.0,0.00033333333,0.02,4.147674e-13,0.0,633421800.0,51.22,559.85,262.10764,549.8883
0.15063342,15287873.0,10.500322,1.0,0.00033333333,0.02,4.1510399e-13,0.0,616475300.0,49.472336,550.16406,257.7553,546.68225
0.15063342,15287873.0,10.500322,1.0,0.00033333333,0.02,4.1510399e-13,0.0,616475300.0,49.472336,550.16406,257.7553,546.68225
0.32198873,15131514.0,10.500689,1.0,0.00033333333,0.02,0.0,0.0,606775360.0,49.305508,535.7306,254.26924,542.7493
0.32198873,15131514.0,10.500689,1.0,0.00033333333,0.02,0.0,0.0,606775360.0,49.305508,535.7306,254.26924,542.7493
2.0,14514378.0,10.504243,1.0,0.00033333333,0.02,0.0,0.0,572483300.0,49.143333,506.46024,240.23451,522.55554
2.0,14514378.0,10.504243,1.0,0.00033333333,0.02,0.0,0.0,572483300.0,49.143333,506.46024,240.23451,522.55554
2.0,14514378.0,10.504243,1.0,0.00033333333,0.02,2.0829554e-13,0.0,572483300.0,49.143333,506.46024,240.23451,522.55554
2.0,14514378.0,10.504243,1.0,0.00033333333,0.02,2.0829554e-13,0.0,572483300.0,49.143333,506.46024,240.23451,522.55554
2.4051085,14416802.0,10.505093,1.0,0.00033333333,0.02,0.0,0.0,568092700.0,48.935574,503.98718,238.0509,521.5084
2.4051085,14416802.0,10.505093,1.0,0.00033333333,0.02,0.0,0.0,568092700.0,48.935574,503.98718,238.0509,521.5084
5.0,13886187.0,10.51045,1.0,0.00033333333,0.02,4.16986e-13,0.0,547259650.0,47.25396,498.00128,227.64603,518.48566
5.0,13886187.0,10.51045,1.0,0.00033333333,0.02,4.16986e-13,0.0,547259650.0,47.25396,498.00128,227.64603,518.48566
5.0,13886187.0,10.51045,1.0,0.00033333333,0.02,2.08493e-13,2.08493e-13,547259650.0,47.25396,498.00128,227.64603,518.48566
5.0,13886187.0,10.51045,1.0,0.00033333333,0.02,2.08493e-13,2.08493e-13,547259650.0,47.25396,498.00128,227.64603,518.48566
10.0,13419580.0,10.520391,1.0,0.00033333333,0.02,8.335992e-13,2.083998e-13,529753860.0,44.882904,500.20755,221.17061,521.27185
10.0,13419580.0,10.520391,1.0,0.00033333333,0.02,8.335992e-13,2.083998e-13,529753860.0,44.882904,500.20755,221.17061,521.27185
20.0,13480653.0,10.538843,1.0,0.00033333333,0.02,0.0,0.0,536111260.0,44.206703,504.40933,227.65222,523.9721
29.532356,14044363.0,10.554794,1.0,0.00033333333,0.02,0.0,0.0,559613200.0,46.838554,507.75665,244.66374,499.57016
29.532356,14044363.0,10.554794,1.0,0.00033333333,0.02,0.0,0.0,559613200.0,46.838554,507.75665,244.66374,499.57016
30.0,14086708.0,10.555538,1.0,0.00033333333,0.02,4.1654326e-13,0.0,561484740.0,47.08698,507.8895,245.96698,497.2018
40.0,14989009.0,10.570645,1.0,0.00033333333,0.02,4.165293e-13,0.0,610533950.0,54.522743,508.30634,265.39685,446.5708
42.110386,15102066.0,10.573645,1.0,0.00033333333,0.02,2.0827396e-13,2.0827396e-13,620604700.0,56.083527,507.7497,266.99588,439.6643
42.110386,15102066.0,10.573645,1.0,0.00033333333,0.02,2.0827396e-13,2.0827396e-13,620604700.0,56.083527,507.7497,266.99588,439.6643
50.0,15284606.0,10.584314,1.0,0.00033333333,0.02,4.1667172e-13,0.0,646508860.0,60.190437,504.04587,268.88696,426.81924
60.0,15161713.0,10.596683,1.0,0.00033333333,0.02,2.0851963e-13,0.0,648905500.0,60.682285,497.4072,265.0198,428.49487
60.0,15161713.0,10.596683,1.0,0.00033333333,0.02,2.0851963e-13,0.0,648905500.0,60.682285,497.4072,265.0198,428.49487
70.0,14837381.0,10.607874,1.0,0.00033333333,0.02,4.1756564e-13,0.0,629629630.0,57.84056,491.50964,257.71143,438.5864
80.0,14482147.0,10.618,1.0,0.00033333333,0.02,8.3581297e-13,0.0,607424960.0,54.51921,487.66528,250.51582,451.1013
90.0,14196371.0,10.627163,1.0,0.00033333333,0.02,0.0,0.0,589997100.0,51.847115,485.8032,245.0486,463.56406
94.326385,14103636.0,10.630852,1.0,0.00033333333,0.02,4.1809712e-13,0.0,584227300.0,50.94245,485.50604,243.31203,468.6104
94.326385,14103636.0,10.630852,1.0,0.00033333333,0.02,4.1809712e-13,0.0,584227300.0,50.94245,485.50604,243.31203,468.6104
100.0,14009364.0,10.635454,1.0,0.00033333333,0.02,1.045244e-12,2.0904879e-13,578328600.0,49.970272,485.50098,241.57762,474.75928
100.0,14009364.0,10.635454,1.0,0.00033333333,0.02,8.3619515e-13,0.0,578328600.0,49.970272,485.50098,241.57762,474.75928
110.0,13913657.0,10.642955,1.0,0.00033333333,0.02,4.180234e-13,0.0,571316030.0,48.75898,486.34177,239.81166,484.01712
110.0,13913657.0,10.642955,1.0,0.00033333333,0.02,4.180234e-13,0.0,571316030.0,48.75898,486.34177,239.81166,484.01712
120.0,13888535.0,10.649739,1.0,0.00033333333,0.02,2.089393e-13,0.0,567903900.0,48.058445,487.9804,239.32066,491.00864
120.0,13888535.0,10.649739,1.0,0.00033333333,0.02,2.089393e-13,0.0,567903900.0,48.058445,487.9804,239.32066,491.00864
130.0,13910564.0,10.655882,1.0,0.00033333333,0.02,8.353774e-13,2.0884435e-13,567206300.0,47.73726,490.12402,239.67897,495.7813
130.0,13910564.0,10.655882,1.0,0.00033333333,0.02,8.353774e-13,0.0,567206300.0,47.73726,490.12402,239.67897,495.7813
140.0,13961899.0,10.66144,1.0,0.00033333333,0.02,0.0,0.0,568291000.0,47.67536,492.56476,240.54712,498.61942
140.0,13961899.0,10.66144,1.0,0.00033333333,0.02,0.0,0.0,568291000.0,47.67536,492.56476,240.54712,498.61942
150.0,14027266.0,10.666469,1.0,0.00033333333,0.02,8.344845e-13,0.0,570388160.0,47.777664,495.13858,241.63704,500.0181
150.0,14027266.0,10.666469,1.0,0.00033333333,0.02,8.344845e-13,0.0,570388160.0,47.777664,495.13858,241.63704,500.0181
160.0,14095181.0,10.67102,1.0,0.00033333333,0.02,8.3402014e-13,0.0,572926500.0,47.967247,497.73294,242.74074,500.52762
160.0,14095181.0,10.67102,1.0,0.00033333333,0.02,8.3402014e-13,0.0,572926500.0,47.967247,497.73294,242.74074,500.52762
170.0,14158099.0,10.675137,1.0,0.00033333333,0.02,4.167972e-13,0.0,575494300.0,48.184723,500.27863,243.72838,500.62604
